Timestamp,Strengths,Firsts,Lasts,Minimums,Maximums
1541289609800,757076,782636,747148,709073,827463
1541289632140,815446,824012,809592,771407,860245
1541289673710,815446,824012,809592,771407,860245
1541289677079,809800,819781,806873,770707,859364
1541289682950,807660,819590,804724,770707,853511
1541289683010,807660,819590,804724,770707,853511
1541289693040,805334,815315,802407,769163,852068
1541289747866,805282,815282,802336,769163,847837
1541289822153,805282,815282,802336,770313,847837
1541289822720,805282,815282,802336,770313,847759
1541289855368,805282,815282,801530,770303,847759
1541289858361,805282,815282,801530,770303,847759
1541289860726,805204,812685,798971,770303,847688
1541289863530,805204,812685,798971,771177,847688
1541289864960,805204,812685,798971,771177,847688
1541289865250,805204,812685,798971,769376,847688
1541289878610,805204,812685,798971,769376,847688
1541289880515,801041,812515,798481,769376,838580
1541289891690,801041,812515,798481,769376,838580
1541289917718,798541,812295,798261,761542,834292
1541290000631,798321,812295,797561,759458,834292
1541290016490,798321,812295,797561,759458,834292
1541290050500,798321,812295,797561,759458,834292
1541290055467,798321,812295,797561,759458,834292
1541290080402,798321,812295,797561,758073,834292
1541290095030,798321,812295,796311,757773,834292
1541290105420,799021,812295,797561,758073,834370
1541290109450,799021,812295,797561,758073,834370
1541290127700,799021,812295,797561,758073,834292
1541290153933,803184,812295,798051,759343,834292
1541290159574,803404,812515,798751,759343,838580
1541290161030,802704,807808,798751,759343,837386
1541290264330,802704,807808,798751,759343,837386
1541290265230,803404,812515,798850,760728,838580
1541290271750,803404,812515,798850,760728,838580
1541290288860,803404,812515,799070,760728,838580
1541290296126,805982,812515,801629,760728,838651
1541290330760,803404,812295,799070,760728,834292
1541290351790,803404,812295,799070,760728,834292
1541290367790,803404,812295,799070,760728,834292
1541290406463,803404,812295,799070,760728,834370
1541290412140,807698,816034,799777,762529,835868
1541290424224,807698,816034,799777,762529,835868
1541290446825,807478,814980,799557,760038,835761
1541290468423,810215,815853,802326,761172,839181
1541290470722,819321,824939,818048,770288,854873
1541290482842,826017,829829,822092,774343,858917
1541290503030,826017,829829,822092,774343,858917
1541290505223,826017,829829,822092,774343,858917
1541290528663,826017,830883,822092,774343,858917
1541290582706,830266,830920,824458,774734,858917
1541290586748,830266,830883,822092,774343,855497
1541290588230,832016,831053,822535,777206,864605
1541290588664,832016,831053,822535,777826,864605
1541290618960,830962,829999,821458,776724,861975
1541290626820,831825,830692,821511,779681,861975
1541290685539,831825,830692,821511,780783,861975
1541290699600,831825,830692,821511,780783,861975
1541290718212,831825,830692,821511,779681,861975
1541290734279,832879,831746,822588,779681,864605
1541290742078,832879,831746,819819,778547,864605
1541290774553,831825,830692,818742,777844,861975
1541290776912,831885,831169,826958,777917,863780
1541290789148,831825,831169,826958,777917,861975
1541290798730,836302,832979,827223,784337,863780
1541290802560,831825,831169,826958,777917,861975
1541290808950,830962,830692,818689,777844,853040
1541290809570,830962,830692,818689,777844,853040
1541290822210,831825,831169,826958,777917,861975
1541290855360,831825,831169,826958,777917,861975
1541290859023,831825,831169,826958,777917,861975
1541290889710,831825,831169,826958,778620,861975
1541290898050,836302,832979,826958,778620,863780
1541290899020,831825,832979,818689,778547,861975
1541290953690,831825,832979,818689,778547,861975
1541290954170,831825,832979,818689,777844,861975
1541290967466,831529,832632,812017,774991,861755
1541290972090,831529,832632,812017,774991,861755
1541290978150,824749,832632,808794,777844,860718
1541291045690,817763,831759,808794,777844,859220
1541291062160,816900,829949,808351,776787,850565
1541291087249,816900,830822,808351,776787,850565
1541291103940,816900,830822,807644,776787,850565
1541291107865,855304,832648,844215,777442,887176
1541291129586,855304,832648,844215,777442,887176
1541291136738,862084,832995,847438,777442,888213
1541291140377,869070,833032,848145,783043,889711
1541291145530,862290,832685,846315,783746,888674
1541291178150,861870,832208,845785,781846,888394
1541291185850,862550,832555,845785,781846,889431
1541291208469,868650,833609,847615,782887,889651
1541291232020,868650,833609,847615,782948,889651
1541291244842,868650,833609,847615,782948,888153
1541291274100,862550,832555,845785,782887,887933
1541291287410,864635,855224,849664,784893,891772
1541291313223,859142,854531,849354,784273,891599
1541291314710,859142,854531,847961,783232,891599
1541291364900,865242,854531,849354,783172,891819
1541291406820,870735,855224,849664,783792,891992
1541291416569,871031,856278,851494,783852,894622
1541291433376,871703,858202,854263,785010,896120
1541291488640,871703,858202,851494,783852,896120
1541291513230,871761,859384,854263,785010,899420
1541291516450,871761,859384,854263,785010,899420
1541291536465,872181,859861,854793,786910,899700
1541291538270,871885,858807,852963,786850,897070
1541291553930,872748,860617,853406,787907,905725
1541291565220,866648,860270,852013,787264,905505
1541291574226,866648,860270,852013,787264,905505
1541291602376,866648,852528,849421,784411,905505
1541291602762,866590,851346,846652,783253,902205
1541291616170,870595,869166,853732,797647,915122
1541291626773,870595,869166,853732,797647,915122
1541291637058,876695,877255,853732,797647,915342
1541291641560,876023,875331,853732,797647,913844
1541291693899,876023,875331,853732,800500,913844
1541291750670,876023,857511,853732,786106,913844
1541291756680,876023,857511,853732,786106,913844
1541291765330,869923,849422,852661,783253,913624
1541291767970,867913,849422,851146,779504,912587
1541291769440,872390,854754,851146,779577,912587
1541291796061,873062,856678,853915,780735,914085
1541291805890,873062,856678,853915,780735,914085
1541291813510,873062,856678,853915,780735,914085
1541291819790,866972,834009,846835,778729,901168
1541291830052,866972,834009,846835,778729,901168
1541291834430,867030,835191,849243,778729,901168
1541291836340,867030,835191,849243,778729,901168
1541291840360,867030,835191,849243,778656,901168
1541291843050,862553,829859,848800,777599,901168
1541291860280,862553,829859,848800,777599,901168
1541291870780,861690,829859,848270,775699,892513
1541291877724,859123,829542,848100,775552,889881
1541291888370,859065,828360,845692,774394,889881
