DateTime,Month,Day,DoW,Date,Time,Strengths,Firsts,Lasts,Minimums,Maximums
2018-11-04 00:00:00,November,Sunday,1,2018-11-04,00:00:00,00:13:23,00:13:33,00:13:19,00:12:43,00:14:01
2018-11-04 00:15:00,November,Sunday,1,2018-11-04,00:15:00,00:13:59,00:13:53,00:13:48,00:12:58,00:14:28
2018-11-04 00:30:00,November,Sunday,1,2018-11-04,00:30:00,00:14:27,00:14:03,00:14:10,00:13:01,00:15:00
2018-11-04 00:45:00,November,Sunday,1,2018-11-04,00:45:00,00:12:28,00:12:48,00:12:12,00:11:45,00:13:24
2018-11-04 01:00:00,November,Sunday,1,2018-11-04,01:00:00,00:12:20,00:12:29,00:11:59,00:11:19,00:13:25
2018-11-04 01:15:00,November,Sunday,1,2018-11-04,01:15:00,00:12:28,00:12:42,00:12:00,00:11:25,00:13:29
2018-11-04 01:30:00,November,Sunday,1,2018-11-04,01:30:00,00:11:41,00:12:11,00:11:38,00:10:52,00:13:25
2018-11-04 01:45:00,November,Sunday,1,2018-11-04,01:45:00,00:12:09,00:12:17,00:11:51,00:10:55,00:13:28
2018-11-04 02:00:00,November,Sunday,1,2018-11-04,02:00:00,00:12:13,00:12:22,00:11:55,00:11:00,00:13:34
2018-11-04 02:15:00,November,Sunday,1,2018-11-04,02:15:00,00:12:17,00:12:34,00:12:07,00:11:00,00:13:37
2018-11-04 02:30:00,November,Sunday,1,2018-11-04,02:30:00,00:11:35,00:11:56,00:11:28,00:10:40,00:13:17
2018-11-04 02:45:00,November,Sunday,1,2018-11-04,02:45:00,00:11:49,00:12:02,00:11:30,00:10:39,00:13:17
2018-11-04 03:00:00,November,Sunday,1,2018-11-04,03:00:00,00:11:36,00:11:43,00:11:19,00:10:32,00:13:06
2018-11-04 03:15:00,November,Sunday,1,2018-11-04,03:15:00,00:11:27,00:11:33,00:11:13,00:10:25,00:12:52
2018-11-04 03:30:00,November,Sunday,1,2018-11-04,03:30:00,00:11:29,00:11:33,00:11:17,00:10:20,00:12:52
2018-11-04 03:45:00,November,Sunday,1,2018-11-04,03:45:00,00:11:15,00:11:24,00:11:10,00:10:16,00:12:52
2018-11-04 04:00:00,November,Sunday,1,2018-11-04,04:00:00,00:11:08,00:11:19,00:11:08,00:10:19,00:12:48
2018-11-04 04:15:00,November,Sunday,1,2018-11-04,04:15:00,00:11:05,00:11:17,00:11:11,00:10:24,00:12:46
2018-11-04 04:30:00,November,Sunday,1,2018-11-04,04:30:00,00:11:04,00:11:13,00:11:06,00:10:11,00:12:46
2018-11-04 04:45:00,November,Sunday,1,2018-11-04,04:45:00,00:11:00,00:11:08,00:10:59,00:10:17,00:12:43
